iter	CatBoostEvalMetricCustom	Logloss
761	0.8161111412	0.2283957011
762	0.8161243068	0.228350707
763	0.8162048619	0.2283041119
764	0.8161532194	0.2282590417
765	0.8161671453	0.2282173141
766	0.8160830318	0.2281756166
767	0.8162578021	0.228135147
768	0.8162690929	0.2280997064
769	0.8162769403	0.2280745153
770	0.8162255673	0.2280323818
771	0.8162375719	0.2279893492
772	0.8162200565	0.2279389335
773	0.8162292003	0.2278962847
774	0.8165310432	0.2278611
775	0.8165132951	0.227810742
776	0.8165978127	0.2277519511
777	0.8168042725	0.2277119942
778	0.816816342	0.2276698786
779	0.8168881539	0.2276473578
780	0.8168690812	0.2276035562
781	0.8170136219	0.2275609504
782	0.8168041172	0.2275029552
783	0.8169489669	0.2274563054
784	0.8170566734	0.2274233159
785	0.8171623642	0.2273971131
786	0.8173372811	0.2273505845
787	0.8175439849	0.2273111506
788	0.8176518847	0.2272726852
789	0.8176984524	0.2272291358
790	0.8176825282	0.2271767075
791	0.8177964698	0.2271284144
792	0.8179663141	0.2271005495
793	0.8179464006	0.227054449
794	0.8181550963	0.2270075262
795	0.8178169432	0.2269523708
796	0.8181191515	0.2269187104
797	0.8180999081	0.226876191
798	0.8178570648	0.2268239518
799	0.8179006419	0.2267866339
800	0.8179825145	0.2267331406
801	0.8184147409	0.2267002119
802	0.8183671935	0.2266519592
803	0.8189063012	0.2265942259
804	0.8188544077	0.2265551451
805	0.8188671825	0.2265187366
806	0.8187446253	0.2264898067
807	0.8186290776	0.2264419407
808	0.8186413164	0.2264033381
809	0.8186212083	0.2263599704
810	0.8188924591	0.2263243988
811	0.8188052366	0.2262863797
812	0.8189800279	0.2262443549
813	0.8191614141	0.226182802
814	0.8191074751	0.2261404867
815	0.8193448923	0.2261054233
816	0.8193878557	0.2260690932
817	0.819140102	0.2260271313
818	0.8193847515	0.2259758212
819	0.8193279334	0.2259469539
820	0.8193392115	0.2259051024
821	0.8193520554	0.2258577212
822	0.819265778	0.2258215568
823	0.8195089506	0.2257766205
824	0.819613596	0.2257530209
825	0.8198896149	0.2256899966
826	0.8198387977	0.2256430599
827	0.8198820742	0.2256046952
828	0.8198647253	0.2255621516
829	0.8198130109	0.2255137125
830	0.8198528667	0.225479667
831	0.8198938961	0.2254519771
832	0.8198417402	0.2254154157
833	0.819692284	0.2253705318
834	0.8199673239	0.2253207991
835	0.8196871838	0.225279598
836	0.8197930833	0.2252426316
837	0.8199674726	0.2252021534
838	0.8201773433	0.2251560938
839	0.8202235512	0.2251105432
840	0.8203667815	0.2250701155
841	0.8204158431	0.2250163085
842	0.8203961822	0.2249665777
843	0.8204447854	0.2249148363
844	0.8204278794	0.2248600122
845	0.8203123233	0.2248138084
846	0.8204527632	0.2247790364
847	0.8205286251	0.2247292261
848	0.8206076412	0.2246762316
849	0.8208816075	0.2246325344
850	0.8208314885	0.2245902702
851	0.8208085972	0.2245524106
852	0.8207847114	0.224519192
853	0.8208017111	0.2244640999
854	0.8205513971	0.224428553
855	0.8208216252	0.224394824
856	0.8208303613	0.2243563869
857	0.8212363405	0.2243024654
858	0.8214393441	0.2242758858
859	0.8213275276	0.2242216528
860	0.8212752856	0.2241787563
861	0.8212853111	0.2241374382
862	0.8208712665	0.224106682
863	0.8208510343	0.2240721466
864	0.8210239086	0.2240324678
865	0.8210662781	0.2239996361
866	0.8210142294	0.2239588746
867	0.8211516633	0.2239359598
868	0.821361754	0.223887497
869	0.8216337638	0.2238504813
870	0.8215495431	0.2238067538
871	0.8220162972	0.2237696951
872	0.8216697396	0.2237355717
